order_id,order_date,store_id,product_id,customer_id,sales_channel,units_sold,unit_price,discount_pct,payment_status,delivery_status
O-00001,2026-04-24,ST-005,P-009,C-0014,Online,3,208.95,0,Paid,Processing
O-00002,2026-03-23,ST-010,P-005,C-0027,Mobile App,6,49.0,20,Pending,Processing
O-00003,2026-02-12,ST-002,P-001,C-0055,In-store,5,359.1,0,Paid,Delivered
O-00004,2026-01-10,ST-009,P-008,C-0055,In-store,9,224.1,0,Paid,Processing
O-00005,2026-02-09,ST-009,P-010,C-0019,Mobile App,7,99.0,0,Paid,Processing
O-00006,2026-04-24,ST-011,P-004,C-0032,Partner,2,208.95,15,Paid,Delivered
O-00007,2026-04-05,ST-013,P-003,C-0023,Mobile App,7,539.1,0,Pending,Delivered
O-00008,2026-01-29,ST-003,P-005,C-0014,In-store,7,44.1,10,Pending,Processing
O-00009,2026-01-25,ST-014,P-005,C-0030,Partner,4,44.1,20,Paid,Processing
O-00010,2026-03-28,ST-013,P-002,C-0036,Mobile App,6,178.8,10,Paid,Delivered
O-00011,2026-03-18,ST-003,P-005,C-0075,Partner,5,44.1,0,Paid,Processing
O-00012,2026-01-25,ST-010,P-007,C-0066,Mobile App,2,438.9,15,Paid,Returned
O-00013,2026-01-09,ST-009,P-001,C-0069,Mobile App,4,418.95,10,Paid,Delivered
O-00014,2026-03-31,ST-009,P-005,C-0040,Mobile App,7,51.45,10,Paid,Delivered
O-00015,2026-02-08,ST-011,P-007,C-0049,Partner,3,478.8,15,Paid,Processing
O-00016,2026-02-26,ST-004,P-005,C-0056,In-store,6,53.9,10,Pending,Delivered
O-00017,2026-03-28,ST-005,P-002,C-0066,Mobile App,6,134.1,0,Paid,Delivered
O-00018,2026-04-19,ST-001,P-003,C-0006,Online,4,658.9,15,Pending,Returned
O-00019,2026-01-19,ST-004,P-010,C-0050,Online,8,108.9,0,Paid,Returned
O-00020,2026-02-01,ST-003,P-004,C-0067,Online,8,179.1,15,Pending,Delivered
O-00021,2026-04-07,ST-011,P-008,C-0068,Partner,9,298.8,5,Pending,Returned
O-00022,2026-04-18,ST-012,P-003,C-0061,Mobile App,8,628.95,0,Pending,Delivered
O-00023,2026-02-12,ST-008,P-005,C-0010,Mobile App,5,49.0,5,Paid,Delivered
O-00024,2026-02-23,ST-004,P-003,C-0050,Partner,3,599.0,0,Paid,Returned
O-00025,2026-03-31,ST-001,P-007,C-0027,Online,7,438.9,15,Pending,Returned
O-00026,2026-04-06,ST-006,P-001,C-0039,In-store,7,438.9,15,Pending,Delivered
O-00027,2026-03-27,ST-007,P-005,C-0063,Partner,1,53.9,5,Paid,Returned
O-00028,2026-03-14,ST-010,P-003,C-0069,Online,1,658.9,15,Paid,Returned
O-00029,2026-02-18,ST-014,P-003,C-0060,Mobile App,3,539.1,5,Paid,Returned
O-00030,2026-04-17,ST-006,P-006,C-0049,Online,5,108.9,5,Pending,Delivered
O-00031,2026-01-06,ST-001,P-009,C-0045,Online,4,179.1,20,Paid,Delivered
O-00032,2026-03-27,ST-010,P-001,C-0020,Online,4,399.0,10,Paid,Returned
O-00033,2026-04-06,ST-013,P-005,C-0048,Online,3,58.8,15,Paid,Processing
O-00034,2026-04-27,ST-010,P-002,C-0004,Partner,5,178.8,20,Pending,Delivered
O-00035,2026-03-18,ST-010,P-002,C-0032,Online,2,156.45,20,Paid,Processing
O-00036,2026-02-13,ST-007,P-009,C-0048,Online,2,238.8,20,Pending,Returned
O-00037,2026-01-23,ST-007,P-002,C-0047,Mobile App,8,149.0,10,Pending,Returned
O-00038,2026-04-17,ST-014,P-007,C-0076,Online,5,418.95,0,Paid,Returned
O-00039,2026-03-05,ST-013,P-004,C-0060,Mobile App,7,208.95,0,Paid,Returned
O-00040,2026-03-31,ST-006,P-004,C-0034,Mobile App,6,208.95,15,Paid,Delivered
O-00041,2026-03-30,ST-004,P-002,C-0053,Partner,8,178.8,0,Pending,Returned
O-00042,2026-02-01,ST-002,P-001,C-0038,Mobile App,4,438.9,20,Paid,Returned
O-00043,2026-02-15,ST-009,P-009,C-0045,Partner,7,238.8,5,Paid,Processing
O-00044,2026-04-06,ST-004,P-005,C-0016,In-store,4,51.45,0,Paid,Delivered
O-00045,2026-01-13,ST-005,P-008,C-0076,In-store,9,298.8,5,Paid,Delivered
O-00046,2026-02-05,ST-003,P-006,C-0039,Online,1,118.8,0,Paid,Processing
O-00047,2026-02-06,ST-011,P-003,C-0063,Partner,2,539.1,15,Pending,Returned
O-00048,2026-04-16,ST-003,P-006,C-0007,Online,5,108.9,0,Pending,Returned
O-00049,2026-02-08,ST-010,P-002,C-0007,Online,3,149.0,15,Paid,Delivered
O-00050,2026-02-27,ST-013,P-009,C-0054,Partner,4,238.8,10,Paid,Returned
O-00051,2026-01-13,ST-010,P-005,C-0080,In-store,1,58.8,20,Paid,Processing
O-00052,2026-01-21,ST-003,P-002,C-0031,Online,3,178.8,0,Pending,Returned
O-00053,2026-04-01,ST-008,P-010,C-0038,Mobile App,1,99.0,5,Pending,Delivered
O-00054,2026-03-11,ST-015,P-004,C-0034,In-store,4,218.9,0,Paid,Processing
O-00055,2026-04-06,ST-002,P-003,C-0008,Mobile App,3,628.95,15,Pending,Delivered
O-00056,2026-03-11,ST-012,P-008,C-0039,Partner,7,261.45,15,Pending,Delivered
O-00057,2026-01-04,ST-001,P-010,C-0056,Online,6,118.8,5,Paid,Delivered
O-00058,2026-03-25,ST-010,P-005,C-0006,Partner,3,53.9,15,Paid,Delivered
O-00059,2026-02-22,ST-007,P-010,C-0063,Mobile App,2,108.9,5,Paid,Delivered
O-00060,2026-02-21,ST-006,P-003,C-0053,Online,8,628.95,20,Pending,Delivered
